Date,"Spot exchange rate, US $ into Sterling",FTSE100 daily return,10Y yield,yield-curve,bank rate,CPI,GDP,Unemployment
31-Dec-24,0.7982,0.0064,4.517,0.37,4.75,3.5,101.8458,4.4
30-Dec-24,0.7993,-0.0035,4.594,0.36,4.75,3.5,101.8458,4.4
27-Dec-24,0.7951,0.0016,4.601,0.37,4.75,3.5,101.8458,4.4
24-Dec-24,0.7975,0.0042,4.634,0.35,4.75,3.5,101.8458,4.4
23-Dec-24,0.7988,0.0022,4.603,0.35,4.75,3.5,101.8458,4.4
20-Dec-24,0.7974,-0.0026,4.485,0.35,4.75,3.5,101.8458,4.4
19-Dec-24,0.7968,-0.0114,4.533,0.35,4.75,3.5,101.8458,4.4
18-Dec-24,0.7879,0.0005,4.523,0.28,4.75,3.5,101.8458,4.4
17-Dec-24,0.7868,-0.0081,4.520,0.25,4.75,3.5,101.8458,4.4
16-Dec-24,0.788,-0.0046,4.489,0.28,4.75,3.5,101.8458,4.4
13-Dec-24,0.7927,-0.0014,4.469,0.29,4.75,3.5,101.8458,4.4
12-Dec-24,0.7881,0.0012,4.381,0.27,4.75,3.5,101.8458,4.4
11-Dec-24,0.7847,0.0026,4.358,0.24,4.75,3.5,101.8458,4.4
10-Dec-24,0.7851,-0.0086,4.358,0.22,4.75,3.5,101.8458,4.4
09-Dec-24,0.7815,0.0052,4.294,0.19,4.75,3.5,101.8458,4.4
06-Dec-24,0.7847,-0.0049,4.312,0.17,4.75,3.5,101.8458,4.4
05-Dec-24,0.7839,0.0016,4.285,0.17,4.75,3.5,101.8458,4.4
04-Dec-24,0.7869,-0.0028,4.250,0.18,4.75,3.5,101.8458,4.4
03-Dec-24,0.7898,0.0056,4.249,0.17,4.75,3.5,101.8458,4.4
02-Dec-24,0.7919,0.0031,4.234,0.17,4.75,3.5,101.8458,4.4
29-Nov-24,0.7869,0.0007,4.248,0.16,4.75,3.5,101.3416,4.4
28-Nov-24,0.7885,0.0008,4.320,0.14,4.75,3.5,101.3416,4.4
27-Nov-24,0.7888,0.0020,4.321,0.14,4.75,3.5,101.3416,4.4
26-Nov-24,0.796,-0.0040,4.326,0.18,4.75,3.5,101.3416,4.4
25-Nov-24,0.7967,0.0036,4.347,0.17,4.75,3.5,101.3416,4.4
22-Nov-24,0.7983,0.0138,4.381,0.22,4.75,3.5,101.3416,4.4
21-Nov-24,0.7926,0.0079,4.455,0.22,4.75,3.5,101.3416,4.4
20-Nov-24,0.7903,-0.0017,4.408,0.23,4.75,3.5,101.3416,4.4
19-Nov-24,0.7896,-0.0013,4.375,0.20,4.75,3.5,101.3416,4.4
18-Nov-24,0.7911,0.0057,4.429,0.23,4.75,3.5,101.3416,4.4
15-Nov-24,0.7919,-0.0009,4.443,0.25,4.75,3.5,101.3416,4.4
14-Nov-24,0.7869,0.0051,4.463,0.25,4.75,3.5,101.3416,4.4
13-Nov-24,0.7859,0.0006,4.465,0.21,4.75,3.5,101.3416,4.4
12-Nov-24,0.7835,-0.0122,4.421,0.17,4.75,3.5,101.3416,4.4
11-Nov-24,0.777,0.0065,4.405,0.17,4.75,3.5,101.3416,4.4
08-Nov-24,0.7729,-0.0084,4.464,0.17,4.75,3.5,101.3416,4.4
07-Nov-24,0.7694,-0.0032,4.478,0.22,4.75,3.5,101.3416,4.4
06-Nov-24,0.7758,-0.0007,4.541,0.23,5.00,3.5,101.3416,4.4
05-Nov-24,0.7691,-0.0014,4.553,0.17,5.00,3.5,101.3416,4.4
04-Nov-24,0.7704,0.0009,4.461,0.17,5.00,3.5,101.3416,4.4
01-Nov-24,0.7716,0.0083,4.440,0.18,5.00,3.5,101.3416,4.4
31-Oct-24,0.7779,-0.0061,4.410,0.17,5.00,3.2,101.2882,4.4
30-Oct-24,0.7686,-0.0073,4.370,0.20,5.00,3.2,101.2882,4.4
29-Oct-24,0.769,-0.0080,4.291,0.24,5.00,3.2,101.2882,4.4
28-Oct-24,0.7704,0.0045,4.280,0.23,5.00,3.2,101.2882,4.4
25-Oct-24,0.7698,-0.0025,4.214,0.26,5.00,3.2,101.2882,4.4
24-Oct-24,0.7716,0.0013,4.261,0.30,5.00,3.2,101.2882,4.4
23-Oct-24,0.7723,-0.0058,4.261,0.32,5.00,3.2,101.2882,4.4
22-Oct-24,0.7707,-0.0014,4.201,0.28,5.00,3.2,101.2882,4.4
21-Oct-24,0.7691,-0.0048,4.168,0.28,5.00,3.2,101.2882,4.4
18-Oct-24,0.7671,-0.0032,4.097,0.25,5.00,3.2,101.2882,4.4
17-Oct-24,0.7694,0.0067,4.173,0.26,5.00,3.2,101.2882,4.4
16-Oct-24,0.7687,0.0097,4.114,0.25,5.00,3.2,101.2882,4.4
15-Oct-24,0.7637,-0.0052,4.228,0.23,5.00,3.2,101.2882,4.4
14-Oct-24,0.7658,0.0047,4.265,0.26,5.00,3.2,101.2882,4.4
11-Oct-24,0.7648,0.0019,4.247,0.22,5.00,3.2,101.2882,4.4
10-Oct-24,0.7664,-0.0007,4.243,0.22,5.00,3.2,101.2882,4.4
09-Oct-24,0.765,0.0065,4.185,0.17,5.00,3.2,101.2882,4.4
08-Oct-24,0.7638,-0.0136,4.193,0.17,5.00,3.2,101.2882,4.4
07-Oct-24,0.7646,0.0028,4.206,0.15,5.00,3.2,101.2882,4.4
04-Oct-24,0.7626,-0.0002,4.144,0.15,5.00,3.2,101.2882,4.4
03-Oct-24,0.7629,-0.0010,4.024,0.19,5.00,3.2,101.2882,4.4
02-Oct-24,0.7547,0.0017,4.053,0.15,5.00,3.2,101.2882,4.4
01-Oct-24,0.7525,0.0048,3.954,0.11,5.00,3.2,101.2882,4.4
30-Sep-24,0.7456,-0.0101,4.020,0.15,5.00,2.6,101.2111,4.3
27-Sep-24,0.7459,0.0043,4.004,0.17,5.00,2.6,101.2111,4.3
26-Sep-24,0.7465,0.0020,3.995,0.17,5.00,2.6,101.2111,4.3
25-Sep-24,0.7477,-0.0017,3.997,0.15,5.00,2.6,101.2111,4.3
24-Sep-24,0.7469,0.0028,3.940,0.14,5.00,2.6,101.2111,4.3
23-Sep-24,0.749,0.0036,3.939,0.12,5.00,2.6,101.2111,4.3
20-Sep-24,0.753,-0.0119,3.921,0.09,5.00,2.6,101.2111,4.3
19-Sep-24,0.7547,0.0091,3.894,0.08,5.00,2.6,101.2111,4.3
18-Sep-24,0.7569,-0.0068,3.856,0.06,5.00,2.6,101.2111,4.3
17-Sep-24,0.7583,0.0038,3.782,0.05,5.00,2.6,101.2111,4.3
16-Sep-24,0.7576,0.0006,3.766,0.07,5.00,2.6,101.2111,4.3
13-Sep-24,0.7602,0.0039,3.781,0.07,5.00,2.6,101.2111,4.3
12-Sep-24,0.7646,0.0057,3.791,0.06,5.00,2.6,101.2111,4.3
11-Sep-24,0.7683,-0.0015,3.842,0.06,5.00,2.6,101.2111,4.3
10-Sep-24,0.7659,-0.0078,3.842,0.06,5.00,2.6,101.2111,4.3
09-Sep-24,0.7646,0.0109,3.871,0.08,5.00,2.6,101.2111,4.3
06-Sep-24,0.7599,-0.0073,3.890,0.04,5.00,2.6,101.2111,4.3
05-Sep-24,0.76,-0.0034,3.924,0.02,5.00,2.6,101.2111,4.3
04-Sep-24,0.7598,-0.0035,3.931,0.01,5.00,2.6,101.2111,4.3
03-Sep-24,0.7637,-0.0078,3.981,0.01,5.00,2.6,101.2111,4.3
02-Sep-24,0.7604,-0.0015,4.045,0.05,5.00,2.6,101.2111,4.3
30-Aug-24,0.7608,-0.0004,4.000,0.01,5.00,3.1,101.2779,4.3
29-Aug-24,0.7601,0.0043,4.021,0.02,5.00,3.1,101.2779,4.3
28-Aug-24,0.7568,-0.0002,4.001,-0.01,5.00,3.1,101.2779,4.3
27-Aug-24,0.7556,0.0021,3.996,-0.01,5.00,3.1,101.2779,4.3
23-Aug-24,0.7582,0.0048,3.932,-0.03,5.00,3.1,101.2779,4.3
22-Aug-24,0.7632,0.0006,3.983,-0.03,5.00,3.1,101.2779,4.3
21-Aug-24,0.7657,0.0012,3.922,-0.04,5.00,3.1,101.2779,4.3
20-Aug-24,0.7674,-0.0100,3.935,-0.05,5.00,3.1,101.2779,4.3
19-Aug-24,0.77,0.0055,3.962,-0.04,5.00,3.1,101.2779,4.3
16-Aug-24,0.7758,-0.0043,3.945,-0.03,5.00,3.1,101.2779,4.3
15-Aug-24,0.7781,0.0080,3.944,0.00,5.00,3.1,101.2779,4.3
14-Aug-24,0.7779,0.0056,3.846,0.00,5.00,3.1,101.2779,4.3
13-Aug-24,0.7798,0.0030,3.903,0.02,5.00,3.1,101.2779,4.3
12-Aug-24,0.7822,0.0052,3.958,0.02,5.00,3.1,101.2779,4.3
09-Aug-24,0.7835,0.0028,3.959,0.03,5.00,3.1,101.2779,4.3
08-Aug-24,0.7865,-0.0027,3.982,0.05,5.00,3.1,101.2779,4.3
07-Aug-24,0.7861,0.0175,3.977,0.04,5.00,3.1,101.2779,4.3
06-Aug-24,0.7871,0.0023,3.928,0.01,5.00,3.1,101.2779,4.3
05-Aug-24,0.7838,-0.0204,3.875,0.01,5.00,3.1,101.2779,4.3
02-Aug-24,0.7809,-0.0131,3.868,-0.01,5.00,3.1,101.2779,4.3
01-Aug-24,0.7817,-0.0101,3.895,-0.06,5.00,3.1,101.2779,4.3
31-Jul-24,0.7786,0.0113,4.004,-0.05,5.25,3.1,100.9598,4.1
30-Jul-24,0.7796,-0.0022,4.061,-0.05,5.25,3.1,100.9598,4.1
